Function: Griewank
GlobalParam[1]: 1.6274181640860875e-6
GlobalParam[2]: 3.825382144666064e-7
GlobalParam[3]: 4.371249985487982e-7
GlobalParam[4]: 5.021624499203963e-7
GlobalParam[5]: 1.2907877543867153e-7
GlobalParam[6]: -6.863529017678511e-7
GlobalParam[7]: -2.882814856034645e-7
GlobalParam[8]: -2.840873272685459e-7
GlobalParam[9]: 6.450208086633224e-7
GlobalParam[10]: 1.2206077327086755e-6
GlobalParam[11]: -2.8081490757044926e-7
GlobalParam[12]: -1.3318713920192898e-6
GlobalParam[13]: 9.012907091315987e-7
GlobalParam[14]: 7.966060202658087e-7
GlobalParam[15]: -1.5247261859686792e-7
GlobalParam[16]: 6.528126915569829e-7
GlobalParam[17]: 7.357845101182066e-7
GlobalParam[18]: -3.7842982657185223e-6
GlobalParam[19]: -2.522638207125708e-7
GlobalParam[20]: 1.3389438452111718e-6
GlobalParam[21]: -8.338823131570758e-7
GlobalParam[22]: 8.095500794816411e-7
GlobalParam[23]: 1.1590604434509364e-7
GlobalParam[24]: -1.0773891977310713e-6
GlobalParam[25]: -7.261324929369667e-7
GlobalParam[26]: 1.0603910078716743e-6
GlobalParam[27]: 3.7074117783204415e-7
GlobalParam[28]: -5.738376877953338e-7
GlobalParam[29]: -5.865623980239736e-7
GlobalParam[30]: -1.3709131595672358e-7
1.run 1.0000000000000078
GlobalParam[1]: 6.044093097160606e-7
GlobalParam[2]: -2.2418517850030734e-8
GlobalParam[3]: 7.70672513106551e-7
GlobalParam[4]: 7.022861846813735e-8
GlobalParam[5]: -4.6176972455814626e-7
GlobalParam[6]: 4.750267344436421e-8
GlobalParam[7]: 1.4341806023199634e-6
GlobalParam[8]: -1.0064059975842203e-6
GlobalParam[9]: 5.128784837832287e-7
GlobalParam[10]: -7.190303662995444e-7
GlobalParam[11]: -5.158438308771383e-7
GlobalParam[12]: 9.234949313320349e-7
GlobalParam[13]: -7.943035572124113e-7
GlobalParam[14]: -4.449260072436742e-7
GlobalParam[15]: -3.1502393521246345e-7
GlobalParam[16]: -1.968209350584603e-7
GlobalParam[17]: 6.385800365419225e-7
GlobalParam[18]: 4.413713253918944e-7
GlobalParam[19]: -3.2859410136780225e-7
GlobalParam[20]: -3.677827188504866e-7
GlobalParam[21]: -7.219104550304832e-7
GlobalParam[22]: -1.128835872219582e-6
GlobalParam[23]: -6.968720548909987e-7
GlobalParam[24]: -5.970636970392639e-7
GlobalParam[25]: -1.4697904023589764e-7
GlobalParam[26]: -4.0024732196450564e-7
GlobalParam[27]: 1.1302434854716177e-6
GlobalParam[28]: 1.0337285938651847e-6
GlobalParam[29]: -7.825226095234169e-7
GlobalParam[30]: 1.5276380003126087e-6
2.run 1.000000000000004
GlobalParam[1]: 4.7476835820985314e-7
GlobalParam[2]: 4.511701815452539e-8
GlobalParam[3]: -3.1201668788907655e-7
GlobalParam[4]: 2.045998582529511e-6
GlobalParam[5]: -5.486994294077556e-7
GlobalParam[6]: 5.9002250660958544e-8
GlobalParam[7]: 1.3819134397744558e-7
GlobalParam[8]: -4.6349048995976435e-7
GlobalParam[9]: -1.3600791794590845e-7
GlobalParam[10]: 1.4962674547356918e-7
GlobalParam[11]: 2.2210419750591228e-8
GlobalParam[12]: 2.3840331278937778e-7
GlobalParam[13]: -3.8681599868894744e-7
GlobalParam[14]: 9.865563788629918e-7
GlobalParam[15]: 4.405470174732255e-7
GlobalParam[16]: 5.518129008855077e-7
GlobalParam[17]: -9.856361879185793e-7
GlobalParam[18]: -1.507964041428362e-7
GlobalParam[19]: -5.981044677833857e-7
GlobalParam[20]: -1.301873218988901e-6
GlobalParam[21]: 4.6858299835075253e-7
GlobalParam[22]: 2.637243864726602e-6
GlobalParam[23]: 2.998385471737659e-7
GlobalParam[24]: -1.899437029310565e-7
GlobalParam[25]: 5.997442594782289e-7
GlobalParam[26]: 2.821869307897779e-7
GlobalParam[27]: 3.175837788714592e-7
GlobalParam[28]: 6.471540667461049e-7
GlobalParam[29]: -3.092559094840253e-7
GlobalParam[30]: -7.655212117506388e-7
3.run 1.0000000000000047
GlobalParam[1]: -4.089658063859009e-7
GlobalParam[2]: -7.652869129197804e-7
GlobalParam[3]: -6.358717832629022e-7
GlobalParam[4]: -1.501312615157635e-6
GlobalParam[5]: 3.0518004269084164e-7
GlobalParam[6]: 1.1830885428306868e-6
GlobalParam[7]: -1.6919136278958676e-6
GlobalParam[8]: -8.050357212152808e-7
GlobalParam[9]: 2.5678347621751955e-7
GlobalParam[10]: 4.96474743081946e-9
GlobalParam[11]: 1.1525078332327184e-6
GlobalParam[12]: -5.872534297121394e-7
GlobalParam[13]: -5.136493341356787e-7
GlobalParam[14]: -4.895716491512952e-7
GlobalParam[15]: 9.028683268078525e-8
GlobalParam[16]: -1.8305659372749904e-6
GlobalParam[17]: -1.6631534616634983e-7
GlobalParam[18]: -2.866629533473891e-7
GlobalParam[19]: -5.209591455091885e-7
GlobalParam[20]: 6.011589425432151e-7
GlobalParam[21]: 1.5049004913826236e-6
GlobalParam[22]: -3.3779591311505997e-7
GlobalParam[23]: -2.0389555320459354e-7
GlobalParam[24]: 2.5646617916878135e-7
GlobalParam[25]: -2.580098188883103e-7
GlobalParam[26]: 1.1179514409473555e-6
GlobalParam[27]: 8.62384735701161e-8
GlobalParam[28]: 2.552949477463854e-7
GlobalParam[29]: 4.7629021034534174e-7
GlobalParam[30]: 2.8004996360426774e-7
4.run 1.0000000000000047
GlobalParam[1]: 2.3628259624067524e-7
GlobalParam[2]: -4.955185401346134e-7
GlobalParam[3]: -1.1003108996850749e-6
GlobalParam[4]: 9.613094210817554e-7
GlobalParam[5]: 8.559749916451079e-7
GlobalParam[6]: -7.890923299271176e-7
